"";"Ano de Referência";"Mês de Referência";"ICAO Empresa Aérea";"ICAO Aeródromo Origem";"ICAO Aeródromo Destino";"ICAO Aeródromo Retorno";"Tarifa-Nominal";"Assentos"
"271";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"904,";3
"272";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"932,";5
"273";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"857,";3
"274";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"930,";1
"275";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"903,";3
"276";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"903,";3
"277";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"926,";3
"278";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"849,";1
"279";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"924,";5
"280";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"923,";3
"281";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"902,";1
"282";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"900,";1
"283";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"835,";2
"284";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"898,";7
"285";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"918,";3
"286";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"834,";2
"287";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"915,";3
"288";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"895,";3
"289";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"830,";2
"290";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"893,";1
"291";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"821,";5
"292";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"820,";6
"293";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"816,";5
"294";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"785,";1
"295";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"782,";8
"296";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"776,";3
"297";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"775,";1
"298";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"822,";3
"299";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"774,";6
"300";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"810,";2
"301";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"771,";3
"302";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"809,";5
"303";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"808,";1
"304";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"807,";1
"305";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"765,";5
"306";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"764,";2
"307";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"620,";15
"308";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"759,";2
"309";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"795,";1
"310";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"618,";1
"311";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"793,";2
"312";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"750,";1
"313";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"748,";22
"314";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"746,";7
"315";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"790,";4
"316";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"788,";22
"317";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"618,";10
"318";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"788,";1
"319";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"786,";1
"320";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"615,";1
"321";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"614,";4
"322";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"608,";8
"323";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"2059,";1
"324";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"742,";18
"325";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"608,";14
"326";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"740,";4
"327";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"702,";2
"328";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"700,";12
"329";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"738,";6
"330";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"606,";4
"331";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"735,";2
"332";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"698,";30
"333";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"693,";1
